id,user_name,call_1,call_2,call_3,call_4,memo
85,user85,09071742318,09074006868,09005754543,09035209206,memo85
96,user96,09098468139,09050588663,09058462475,09027479077,memo96
198,user198,09041683047,09025661562,09078312055,09082276067,memo198
285,user285,09096582524,09030156433,09044323164,09010011950,memo285
364,user364,09097298022,09086489231,09027267023,09054872501,memo364
380,user380,09001256939,09082839554,09070081237,09030207273,memo380
396,user396,09056569921,09049459922,09085285255,09083591782,memo396
418,user418,09030064891,09099270672,09074908095,09093881773,memo418
422,user422,09065840562,09045612431,09038232255,09042727732,memo422
423,user423,09040302675,09053284845,09088354493,09071712065,memo423
467,user467,09093916076,09072375719,09048386466,09064625272,memo467
536,user536,09023557852,09053859685,09081789400,09005170704,memo536
548,user548,09051149976,09076909281,09019812787,09059324902,memo548
617,user617,09080388094,09071933837,09091082201,09041788648,memo617
638,user638,09043776800,09037216578,09043730987,09036812766,memo638
647,user647,09072101144,09068876267,09056970425,09070525909,memo647
650,user650,09010614631,09051173205,09090174878,09001425322,memo650
687,user687,09041847625,09074897374,09014765070,09038597828,memo687
739,user739,09099011511,09093261265,09008152231,09007200003,memo739
798,user798,09004836082,09071374777,09000231681,09000151483,memo798
917,user917,09058127457,09072067355,09020491971,09052413255,memo917
953,user953,09040467936,09077531138,09030886316,09097255862,memo953
1056,user1056,09065446912,09041756364,09039276138,09034904876,memo1056
1098,user1098,09043899912,09005074114,09073635135,09079027013,memo1098
1256,user1256,09024083343,09065501121,09058098377,09026182084,memo1256
1342,user1342,09052340756,09034673116,09072942684,09026997945,memo1342
1369,user1369,09067584222,09096300995,09039097797,09056152982,memo1369
1373,user1373,09061084373,09050787384,09003677596,09099354428,memo1373
1471,user1471,09068261839,09091709739,09086411915,09085904432,memo1471
1552,user1552,09069878492,09029320382,09032384148,09054584823,memo1552
1559,user1559,09037045879,09080132842,09021141602,09001332829,memo1559
1662,user1662,09075051010,09079837685,09078949057,09015895439,memo1662
1679,user1679,09034023089,09041964322,09045998339,09032727960,memo1679
1711,user1711,09075190259,09059208696,09010953820,09016914482,memo1711
1767,user1767,09072360547,09083991042,09083163865,09077881726,memo1767
1787,user1787,09016755312,09022721251,09016569056,09065902558,memo1787
1882,user1882,09074310594,09025526465,09028028294,09020585504,memo1882
1884,user1884,09039116615,09097303810,09019539321,09076960925,memo1884
1969,user1969,09099727780,09050901937,09064633204,09052881103,memo1969
2013,user2013,09077998833,09062581487,09056595538,09038774618,memo2013
2014,user2014,09016101206,09047300525,09086326183,09017417857,memo2014
2112,user2112,09096300995,09098518235,09026073789,09085101686,memo2112
2143,user2143,09020976937,09001223670,09008967463,09060396517,memo2143
2234,user2234,09085874193,09000720382,09095663918,09067249520,memo2234
2566,user2566,09013260531,09087511497,09055216219,09079215349,memo2566
